ID,T1,Year,Haptic Sensations,Correlated User Manipulation,Stimulus,Interfacing method,Ground method,Actuating mechanism,Simple to complex mechanism,web,Meeting name
14,strasnick2018haptic,2018,1.4  Mechanical Mechanisms,7.0 Part Motion Test,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://doi.org/10.1145/3173574.3174218,ACM CHI
15,yamaoka2013depend,2013,3.0 Abstracted,9.1. Tool-Mediated,2.3 Forces/Constraint Across Joint,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://dl.acm.org/doi/10.1145/2501988.2502017,ACM UIST
16,hu2019pneu,2019,1.2.2 Shape,5.0 Enclosure,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,5.0 Modularization,https://doi.org/10.1145/3332167.3357107,ACM UIST
17,teng2018pupop,2018,1.2.2 Shape,5.0 Enclosure,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,5.0 Modularization,https://doi.org/10.1145/3242587.3242628,ACM UIST
18,suzuki2020lifttiles,2020,1.2.2 Shape,3.0 Static Contact,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,1.0 Grounded-Off-Body,1.0 Off-The-Shelf Components,5.0 Modularization,https://doi.org/10.1145/3374920.3374941,ACM TEI
19,suzuki2020lifttiles,2020,1.2.2 Shape,3.0 Static Contact,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,1.0 Grounded-Off-Body,1.0 Off-The-Shelf Components,1.0 Spatial Distribution,https://doi.org/10.1145/3374920.3374941,ACM TEI
20,carter2013ultrahaptics,2013,3.0 Abstracted,None,2.0 Vibration,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None,https://dl.acm.org/doi/10.1145/2501988.2502018,ACM UIST
21,kim2013tactile,2013,1.1.3 Texture,1.0 Lateral Motion,1.1 Partial Proximate Object,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None,https://dl.acm.org/doi/10.1145/2501988.2502020,ACM UIST
22,sonar2016soft,2015,Not Specified,None,2.0 Vibration,Not specified,Not Specified,1.0 Off-The-Shelf Components,None,https://www.frontiersin.org/article/10.3389/frobt.2015.00038,FRONTIERS IN ROBOTICS AND AI
23,stanley2014d13,2015,1.1.1 Compliance,All,1.1 Partial Proximate Object,1.0 Encountered/free gesture,Not Specified,1.0 Off-The-Shelf Components,Others,https://ieeexplore.ieee.org/document/6775542,IEEE Transactions on Haptics
24,stanley2014d13,2015,1.2.2 Shape,All,1.1 Partial Proximate Object,1.0 Encountered/free gesture,Not Specified,1.0 Off-The-Shelf Components,Others,https://ieeexplore.ieee.org/document/6775542,IEEE Transactions on Haptics
25,gugenheimer2016gyrovr,2016,2.0 Effects,None,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,Others,https://doi.org/10.1145/2984511.2984535,ACM UIST
26,teng2019aarnio,2019,2.0 Effects,None,2.3 Forces/Constraint Across Joint,1.0 Encountered/free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,1.0 Spatial Distribution,https://doi.org/10.1145/3290605.3300902,ACM CHI
27,ye2019pull,2019,2.0 Effects,None,2.3 Forces/Constraint Across Joint,2.0 Grasped/ fixed gesture,1.0 Grounded-Off-Body,2.0 Material,None,https://doi.org/10.1145/3332165.3347874,ACM UIST
28,cheng2017mutual,2017,2.0 Effects,None,Others,1.0 Encountered/free gesture,1.0 Grounded-Off-Body,Others,None,https://doi.org/10.1145/3126594.3126667,ACM UIST
29,cheng2015turkdeck,2015,All,3.0 Static Contact,1.0 Whole Proximate Object,1.0 Encountered/free gesture,4.0 Moving-Off-Body,Others,6.0 Movement Platform + Props,https://doi.org/10.1145/2807442.2807463,ACM UIST
30,suzuki2020roomshift,2020,All,All,1.0 Whole Proximate Object,1.0 Encountered/free gesture,4.0 Moving-Off-Body,1.0 Off-The-Shelf Components,6.0 Movement Platform + Props,https://doi.org/10.1145/3313831.3376523,ACM CHI
31,kim2013haptic,2013,1.4  Mechanical Mechanisms,9.1. Tool-Mediated,2.0 Vibration,1.0 Encountered/free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None,https://dl.acm.org/doi/10.1145/2501988.2502041,ACM UIST
32,whitmire2018haptic,2018,All,3.0 Static Contact,1.1 Partial Proximate Object,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,Others,https://doi.org/10.1145/3173574.3173660,ACM CHI
33,hoppe2018vrhapticdrones,2018,All,3.0 Static Contact,1.1 Partial Proximate Object,1.0 Encountered/free gesture,4.0 Moving-Off-Body,1.0 Off-The-Shelf Components,None,https://doi.org/10.1145/3282894.3282898,ACM MUM
34,araujo2016snake,2016,All,3.0 Static Contact,1.1 Partial Proximate Object,1.0 Encountered/free gesture,1.0 Grounded-Off-Body,1.0 Off-The-Shelf Components,None,https://doi.org/10.1145/2839462.2839484,ACM TEI
35,fang2020wireality,2020,1.2.2 Shape,3.0 Static Contact,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,7.0 String + Brake,https://doi.org/10.1145/3313831.3376470,ACM CHI
36,yatani2012spacesense,2012,3.0 Abstracted,None,2.0 Vibration,3.0 Worn/ free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,1.0 Spatial Distribution,https://dl.acm.org/doi/10.1145/2207676.2207734,ACM CHI
37,rekimoto2014traxion,2013,3.0 Abstracted,None,2.3 Forces/Constraint Across Joint,1.0 Encountered/free gesture,5.0 Ungrounded,2.0 Material,None,https://dl.acm.org/doi/10.1145/2501988.2502044,ACM UIST
38,tsai2019elasticvr,2019,1.1.1 Compliance,2.0 Pressure,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,7.0 String + Brake,https://doi.org/10.1145/3290605.3300450,ACM CHI
39,tsai2019elasticvr,2019,1.1.1 Compliance,2.0 Pressure,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,3.0 Elastic Material,https://doi.org/10.1145/3290605.3300450,ACM CHI
40,tsai2019elasticvr,2019,1.5 Force/Motion,2.0 Pressure,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,7.0 String + Brake,https://doi.org/10.1145/3290605.3300450,ACM CHI
41,tsai2019elasticvr,2019,1.5 Force/Motion,2.0 Pressure,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,3.0 Elastic Material,https://doi.org/10.1145/3290605.3300450,ACM CHI
42,choi2016wolverine,2016,1.2.2 Shape,5.0 Enclosure,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,8.0 Track + Brake,https://doi.org/10.1145/2984751.2985725,ACM UIST
43,hinchet2018dextres,2018,None,5.0 Enclosure - Grasp,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,2.0 Material,7.0 String + Brake,https://doi.org/10.1145/3242587.3242658,ACM UIST
44,hinchet2018dextres,2018,None,None,2.0 Vibration,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,None,https://doi.org/10.1145/3242587.3242657,ACM UIST
45,lee2019torc,2019,1.1.3 Texture,1.0 Lateral Motion,2.3 Forces/Constraint Across Joint,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None,https://doi.org/10.1145/3290605.3300301,ACM CHI
46,lee2019torc,2019,1.1.3 Texture,2.0 Pressure,2.3 Forces/Constraint Across Joint,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None,https://doi.org/10.1145/3290605.3300301,ACM CHI
47,lee2019torc,2019,1.1.1 Compliance,1.0 Lateral Motion,2.3 Forces/Constraint Across Joint,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None,https://doi.org/10.1145/3290605.3300301,ACM CHI
48,lee2019torc,2019,1.1.1 Compliance,2.0 Pressure,2.3 Forces/Constraint Across Joint,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None,https://doi.org/10.1145/3290605.3300301,ACM CHI
49,choi2017grabity,2017,1.1.1 Compliance,2.0 Pressure,2.3 Forces/Constraint Across Joint,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,8.0 Track + Brake,https://doi.org/10.1145/3126594.3126599,ACM UIST
50,choi2017grabity,2017,1.2.1 Size,2.0 Pressure,2.3 Forces/Constraint Across Joint,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,8.0 Track + Brake,https://doi.org/10.1145/3126594.3126599,ACM UIST
51,choi2017grabity,2017,1.3.1 Mass,4.0 Unsupported Holding,2.1 Stretch On Skin,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,8.0 Track + Brake,https://doi.org/10.1145/3126594.3126599,ACM UIST
52,choi2018claw,2018,1.2.1 Size,Grasp,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None,https://doi.org/10.1145/3173574.3174228,ACM CHI
53,choi2018claw,2018,1.2.1 Size,9.3 Touch,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None,https://doi.org/10.1145/3173574.3174229 ,ACM CHI
54,choi2018claw,2018,1.2.1 Size,2.0 Pressure,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None,https://doi.org/10.1145/3173574.3174229 ,ACM CHI
55,choi2018claw,2018,1.4  Mechanical Mechanisms,Grasp,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None,https://doi.org/10.1145/3173574.3174229 ,ACM CHI
56,choi2018claw,2018,1.4  Mechanical Mechanisms,9.3 Touch,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None,https://doi.org/10.1145/3173574.3174229 ,ACM CHI
57,choi2018claw,2018,1.4  Mechanical Mechanisms,2.0 Pressure,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None,https://doi.org/10.1145/3173574.3174228,ACM CHI
58,choi2018claw,2018,1.1.3 Texture,Grasp,2.0 Vibration,3.0 Worn/ free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None,https://doi.org/10.1145/3173574.3174228,ACM CHI
59,choi2018claw,2018,1.1.3 Texture,9.3 Touch,2.0 Vibration,3.0 Worn/ free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None,https://doi.org/10.1145/3173574.3174229 ,ACM CHI
60,choi2018claw,2018,1.1.3 Texture,2.0 Pressure,2.0 Vibration,3.0 Worn/ free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None,https://doi.org/10.1145/3173574.3174229 ,ACM CHI
61,sinclair2019capstancrunch,2019,1.1.1 Compliance,Grasp,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,7.0 String + Brake,https://doi.org/10.1145/3173574.3174229 ,ACM CHI
62,sinclair2019capstancrunch,2019,1.1.1 Compliance,9.3 Touch,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,7.0 String + Brake,https://doi.org/10.1145/3332165.3347891,ACM UIST
63,sinclair2019capstancrunch,2019,1.1.1 Compliance,2.0 Pressure,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,7.0 String + Brake,https://doi.org/10.1145/3332165.3347891,ACM UIST
64,sinclair2019capstancrunch,2019,1.2.1 Size,Grasp,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,7.0 String + Brake,https://doi.org/10.1145/3332165.3347891,ACM UIST
65,sinclair2019capstancrunch,2019,1.2.1 Size,9.3 Touch,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,7.0 String + Brake,https://doi.org/10.1145/3332165.3347891,ACM UIST
66,sinclair2019capstancrunch,2019,1.2.1 Size,2.0 Pressure,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,7.0 String + Brake,https://doi.org/10.1145/3332165.3347891,ACM UIST
67,zhou2014rml,2015,1.1.1 Compliance,2.0 Pressure,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://doi.org/10.1145/3332165.3347891,ACM UIST
68,zhou2014rml,2015,1.1.1 Compliance,3.0 Static Contact,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://ieeexplore.ieee.org/document/6750032,IEEE/ASME Transactions on Mechatronics
69,zhou2014rml,2015,1.2.2 Shape,2.0 Pressure,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://ieeexplore.ieee.org/document/6750032,IEEE/ASME Transactions on Mechatronics
70,zhou2014rml,2015,1.2.2 Shape,3.0 Static Contact,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://ieeexplore.ieee.org/document/6750032,IEEE/ASME Transactions on Mechatronics
71,ben2014sensing,2015,Not Specified,9.2 Passive,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://ieeexplore.ieee.org/document/6750032,IEEE/ASME Transactions on Mechatronics
72,sarakoglou2016hexotrac,2016,1.1.1 Compliance,2.0 Pressure,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://pubmed.ncbi.nlm.nih.gov/25494512/,IEEE Transactions on Neural Systems and Rehabilitation Engineering
73,sarakoglou2016hexotrac,2016,1.1.1 Compliance,3.0 Static Contact,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://ieeexplore.ieee.org/document/7759176,IEEE/RSJ IROS
74,sarakoglou2016hexotrac,2016,1.2.2 Shape,2.0 Pressure,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://ieeexplore.ieee.org/document/7759176,IEEE/RSJ IROS
75,sarakoglou2016hexotrac,2016,1.2.2 Shape,3.0 Static Contact,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://ieeexplore.ieee.org/document/7759176,IEEE/RSJ IROS
76,gabardi2016new,2016,1.1.3 Texture,1.0 Lateral Motion,2.0 Vibration,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://ieeexplore.ieee.org/document/7759176,IEEE/RSJ IROS
77,gabardi2016new,2016,1.1.3 Texture,1.0 Lateral Motion,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://ieeexplore.ieee.org/document/7463168,IEEE HAPTICS
78,gabardi2016new,2016,1.1.3 Texture,3.0 Static Contact,2.0 Vibration,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://ieeexplore.ieee.org/document/7463168,IEEE HAPTICS
79,gabardi2016new,2016,1.1.3 Texture,3.0 Static Contact,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://ieeexplore.ieee.org/document/7463168,IEEE HAPTICS
80,kim2016hapthimble,2016,1.1.3 Texture,1.0 Lateral Motion,2.0 Vibration,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://ieeexplore.ieee.org/document/7463168,IEEE HAPTICS
81,kim2016hapthimble,2016,1.1.3 Texture,1.0 Lateral Motion,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://doi.org/10.1145/2858036.2858196,ACM CHI
82,kim2016hapthimble,2016,1.1.3 Texture,3.0 Static Contact,2.0 Vibration,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://doi.org/10.1145/2858036.2858196,ACM CHI
83,kim2016hapthimble,2016,1.1.3 Texture,3.0 Static Contact,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://doi.org/10.1145/2858036.2858196,ACM CHI
84,chinello2015design,2015,1.1.3 Texture,1.0 Lateral Motion,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://doi.org/10.1145/2858036.2858196,ACM CHI
85,chinello2015design,2015,1.1.3 Texture,3.0 Static Contact,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://ieeexplore.ieee.org/document/7222547,IEEE AIM
86,kim2021heterogeneous,2021,1.2.2 Shape,6.0 Function Test,2.0 Vibration,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,1.0 Spatial Distribution,https://ieeexplore.ieee.org/document/7222547,IEEE AIM
87,yoshida2020pocopo,2020,1.1.2 Curvature,3.0 Static Contact,1.1 Partial Proximate Object,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,1.0 Spatial Distribution,https://dl.acm.org/doi/10.1145/3411764.3445448,ACM CHI
88,yoshida2020pocopo,2020,1.2.2 Shape,3.0 Static Contact,1.1 Partial Proximate Object,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,1.0 Spatial Distribution,https://doi.org/10.1145/3313831.3376358,ACM CHI
89,bianchi2016wearable,2016,1.1.1 Compliance,2.0 Pressure,1.1 Partial Proximate Object,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,3.0 Elastic Material,https://doi.org/10.1145/3313831.3376358,ACM CHI
90,mazursky2021magnetio,2021,3.0 Abstracted,6.0 Function Test,2.0 Vibration,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,None,https://ieeexplore.ieee.org/document/7463190,IEEE HAPTICS
91,nakanishi2014remote,2014,Others,Others,1.0 Whole Proximate Object,1.0 Encountered/free gesture,1.0 Grounded-Off-Body,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://dl.acm.org/doi/10.1145/3411764.3445543,ACM CHI
92,young20215.0 Ungrounded,2021,1.2.2 Shape,3.0 Static Contact,2.0 Vibration,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None,https://dl.acm.org/doi/abs/10.1145/2556288.2557169,ACM CHI
93,young20215.0 Ungrounded,2021,1.2.2 Shape,2.0 Pressure,2.0 Vibration,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None,https://ieeexplore.ieee.org/document/8643741,IEEE Transactions on Industrial Electronics
94,young20215.0 Ungrounded,2021,1.3.1 Mass,3.0 Static Contact,2.0 Vibration,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None,https://doi.org/10.1145/3025453.3025744,ACM CHI
95,young20215.0 Ungrounded,2021,1.3.1 Mass,2.0 Pressure,2.0 Vibration,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None,https://doi.org/10.1145/3025453.3025744,ACM CHI
96,yun2019soft,2020,Not Specified,9.2 Passive,2.1 Stretch On Skin,1.0 Encountered/free gesture,2.0 Grounded-On-Different-Body-Part,2.0 Material,1.0 Spatial Distribution,https://doi.org/10.1145/3025453.3025744,ACM CHI
97,schorr2017fingertip,2017,1.1.3 Texture,2.0 Pressure,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://doi.org/10.1145/3025453.3025744,ACM CHI
98,schorr2017fingertip,2017,1.1.3 Texture,4.0 Unsupported Holding,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://doi.org/10.1145/3025453.3025744,ACM CHI
99,schorr2017fingertip,2017,1.1.1 Compliance,2.0 Pressure,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://doi.org/10.1145/3025453.3025744,ACM CHI
100,schorr2017fingertip,2017,1.1.1 Compliance,4.0 Unsupported Holding,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://ieeexplore.ieee.org/document/8048023,IEEE Transactions on Haptics
101,schorr2017fingertip,2017,1.3.1 Mass,2.0 Pressure,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://ieeexplore.ieee.org/document/8048023,IEEE Transactions on Haptics
102,schorr2017fingertip,2017,1.3.1 Mass,4.0 Unsupported Holding,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://ieeexplore.ieee.org/document/7784835,IEEE Transactions on Haptics
103,chinello2017three,2018,1.1.1 Compliance,3.0 Static Contact,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://ieeexplore.ieee.org/document/7784835,IEEE Transactions on Haptics
104,chinello2017three,2018,1.1.1 Compliance,2.0 Pressure,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://ieeexplore.ieee.org/abstract/document/8730428,IEEE Transactions on Haptics
