ID,T1,Year,Haptic Sensations,Correlated User Manipulation,Stimulus,Interfacing method,Ground method,Actuating mechanism,Simple to complex mechanism,,,web,Meeting name
32,tsai2019elasticvr,2019,Force/Motion,Pressure,Forces/Constraint Across Joint,Worn/ free gesture,Grounded-On-Different-Body-Part,Off-The-Shelf Components,Elastic Material,,,https://doi.org/10.1145/3290605.3300450,ACM CHI
33,choi2016wolverine,2016,Shape,Enclosure,Forces/Constraint Across Joint,Worn/ free gesture,Grounded-On-Different-Body-Part,Off-The-Shelf Components,Track + Brake,,,https://doi.org/10.1145/2984751.2985725,ACM UIST
34.1,hinchet2018dextres,2018,None,Enclosure - Grasp,Forces/Constraint Across Joint,Worn/ free gesture,Grounded-On-Different-Body-Part,Material,String + Brake,,,https://doi.org/10.1145/3242587.3242658,ACM UIST
34.2,hinchet2018dextres,2018,None,None,Vibration,Worn/ free gesture,Grounded-On-Same-Body-Part,Off-The-Shelf Components,None,,,https://doi.org/10.1145/3242587.3242657,ACM UIST
35,lee2019torc,2019,Texture,Lateral Motion,Forces/Constraint Across Joint,Grasped/ fixed gesture,Ungrounded,Off-The-Shelf Components,None,,,https://doi.org/10.1145/3290605.3300301,ACM CHI
35,lee2019torc,2019,Texture,Pressure,Forces/Constraint Across Joint,Grasped/ fixed gesture,Ungrounded,Off-The-Shelf Components,None,,,https://doi.org/10.1145/3290605.3300301,ACM CHI
35,lee2019torc,2019,Compliance,Lateral Motion,Forces/Constraint Across Joint,Grasped/ fixed gesture,Ungrounded,Off-The-Shelf Components,None,,,https://doi.org/10.1145/3290605.3300301,ACM CHI
35,lee2019torc,2019,Compliance,Pressure,Forces/Constraint Across Joint,Grasped/ fixed gesture,Ungrounded,Off-The-Shelf Components,None,,,https://doi.org/10.1145/3290605.3300301,ACM CHI
36.1,choi2017grabity,2017,Compliance,Pressure,Forces/Constraint Across Joint,Grasped/ fixed gesture,Ungrounded,Off-The-Shelf Components,Track + Brake,,,https://doi.org/10.1145/3126594.3126599,ACM UIST
36.1,choi2017grabity,2017,Size,Pressure,Forces/Constraint Across Joint,Grasped/ fixed gesture,Ungrounded,Off-The-Shelf Components,Track + Brake,,,https://doi.org/10.1145/3126594.3126599,ACM UIST
36.2,choi2017grabity,2017,Mass,Unsupported Holding,Stretch On Skin,Grasped/ fixed gesture,Ungrounded,Off-The-Shelf Components,Track + Brake,,,https://doi.org/10.1145/3126594.3126599,ACM UIST
37.1,choi2018claw,2018,Size,Grasp,Forces/Constraint Across Joint,Worn/ free gesture,Ungrounded,Off-The-Shelf Components,None,,,https://doi.org/10.1145/3173574.3174228,ACM CHI
37.1,choi2018claw,2018,Size,Touch,Forces/Constraint Across Joint,Worn/ free gesture,Ungrounded,Off-The-Shelf Components,None,,,https://doi.org/10.1145/3173574.3174229 ,ACM CHI
37.1,choi2018claw,2018,Size,Pressure,Forces/Constraint Across Joint,Worn/ free gesture,Ungrounded,Off-The-Shelf Components,None,,,https://doi.org/10.1145/3173574.3174229 ,ACM CHI
37.1,choi2018claw,2018,Mechanical Mechanisms,Grasp,Forces/Constraint Across Joint,Worn/ free gesture,Ungrounded,Off-The-Shelf Components,None,,,https://doi.org/10.1145/3173574.3174229 ,ACM CHI
37.1,choi2018claw,2018,Mechanical Mechanisms,Touch,Forces/Constraint Across Joint,Worn/ free gesture,Ungrounded,Off-The-Shelf Components,None,,,https://doi.org/10.1145/3173574.3174229 ,ACM CHI
37.1,choi2018claw,2018,Mechanical Mechanisms,Pressure,Forces/Constraint Across Joint,Worn/ free gesture,Ungrounded,Off-The-Shelf Components,None,,,https://doi.org/10.1145/3173574.3174228,ACM CHI
37.2,choi2018claw,2018,Texture,Grasp,Vibration,Worn/ free gesture,Ungrounded,Off-The-Shelf Components,None,,,https://doi.org/10.1145/3173574.3174228,ACM CHI
37.2,choi2018claw,2018,Texture,Touch,Vibration,Worn/ free gesture,Ungrounded,Off-The-Shelf Components,None,,,https://doi.org/10.1145/3173574.3174229 ,ACM CHI
37.2,choi2018claw,2018,Texture,Pressure,Vibration,Worn/ free gesture,Ungrounded,Off-The-Shelf Components,None,,,https://doi.org/10.1145/3173574.3174229 ,ACM CHI
38,sinclair2019capstancrunch,2019,Compliance,Grasp,Forces/Constraint Across Joint,Worn/ free gesture,Grounded-On-Different-Body-Part,Off-The-Shelf Components,String + Brake,,,https://doi.org/10.1145/3173574.3174229 ,ACM CHI
38,sinclair2019capstancrunch,2019,Compliance,Touch,Forces/Constraint Across Joint,Worn/ free gesture,Grounded-On-Different-Body-Part,Off-The-Shelf Components,String + Brake,,,https://doi.org/10.1145/3332165.3347891,ACM UIST
38,sinclair2019capstancrunch,2019,Compliance,Pressure,Forces/Constraint Across Joint,Worn/ free gesture,Grounded-On-Different-Body-Part,Off-The-Shelf Components,String + Brake,,,https://doi.org/10.1145/3332165.3347891,ACM UIST
38,sinclair2019capstancrunch,2019,Size,Grasp,Forces/Constraint Across Joint,Worn/ free gesture,Grounded-On-Different-Body-Part,Off-The-Shelf Components,String + Brake,,,https://doi.org/10.1145/3332165.3347891,ACM UIST
38,sinclair2019capstancrunch,2019,Size,Touch,Forces/Constraint Across Joint,Worn/ free gesture,Grounded-On-Different-Body-Part,Off-The-Shelf Components,String + Brake,,,https://doi.org/10.1145/3332165.3347891,ACM UIST
38,sinclair2019capstancrunch,2019,Size,Pressure,Forces/Constraint Across Joint,Worn/ free gesture,Grounded-On-Different-Body-Part,Off-The-Shelf Components,String + Brake,,,https://doi.org/10.1145/3332165.3347891,ACM UIST
39,zhou2014rml,2015,Compliance,Pressure,Forces/Constraint Across Joint,Worn/ free gesture,Grounded-On-Different-Body-Part,Off-The-Shelf Components,Mechanical Mechanism,,,https://doi.org/10.1145/3332165.3347891,ACM UIST
39,zhou2014rml,2015,Compliance,Static Contact,Forces/Constraint Across Joint,Worn/ free gesture,Grounded-On-Different-Body-Part,Off-The-Shelf Components,Mechanical Mechanism,,,https://ieeexplore.ieee.org/document/6750032,IEEE/ASME Transactions on Mechatronics
39,zhou2014rml,2015,Shape,Pressure,Forces/Constraint Across Joint,Worn/ free gesture,Grounded-On-Different-Body-Part,Off-The-Shelf Components,Mechanical Mechanism,,,https://ieeexplore.ieee.org/document/6750032,IEEE/ASME Transactions on Mechatronics
39,zhou2014rml,2015,Shape,Static Contact,Forces/Constraint Across Joint,Worn/ free gesture,Grounded-On-Different-Body-Part,Off-The-Shelf Components,Mechanical Mechanism,,,https://ieeexplore.ieee.org/document/6750032,IEEE/ASME Transactions on Mechatronics
40,ben2014sensing,2015,Not Specified,Passive,Forces/Constraint Across Joint,Worn/ free gesture,Grounded-On-Different-Body-Part,Off-The-Shelf Components,Mechanical Mechanism,,,https://ieeexplore.ieee.org/document/6750032,IEEE/ASME Transactions on Mechatronics
41,sarakoglou2016hexotrac,2016,Compliance,Pressure,Forces/Constraint Across Joint,Worn/ free gesture,Grounded-On-Different-Body-Part,Off-The-Shelf Components,Mechanical Mechanism,,,https://pubmed.ncbi.nlm.nih.gov/25494512/,IEEE Transactions on Neural Systems and Rehabilitation Engineering
41,sarakoglou2016hexotrac,2016,Compliance,Static Contact,Forces/Constraint Across Joint,Worn/ free gesture,Grounded-On-Different-Body-Part,Off-The-Shelf Components,Mechanical Mechanism,,,https://ieeexplore.ieee.org/document/7759176,IEEE/RSJ IROS
41,sarakoglou2016hexotrac,2016,Shape,Pressure,Forces/Constraint Across Joint,Worn/ free gesture,Grounded-On-Different-Body-Part,Off-The-Shelf Components,Mechanical Mechanism,,,https://ieeexplore.ieee.org/document/7759176,IEEE/RSJ IROS
41,sarakoglou2016hexotrac,2016,Shape,Static Contact,Forces/Constraint Across Joint,Worn/ free gesture,Grounded-On-Different-Body-Part,Off-The-Shelf Components,Mechanical Mechanism,,,https://ieeexplore.ieee.org/document/7759176,IEEE/RSJ IROS
42,gabardi2016new,2016,Texture,Lateral Motion,Vibration,Worn/ free gesture,Grounded-On-Same-Body-Part,Off-The-Shelf Components,Mechanical Mechanism,,,https://ieeexplore.ieee.org/document/7759176,IEEE/RSJ IROS
42,gabardi2016new,2016,Texture,Lateral Motion,Stretch On Skin,Worn/ free gesture,Grounded-On-Same-Body-Part,Off-The-Shelf Components,Mechanical Mechanism,,,https://ieeexplore.ieee.org/document/7463168,IEEE HAPTICS
42,gabardi2016new,2016,Texture,Static Contact,Vibration,Worn/ free gesture,Grounded-On-Same-Body-Part,Off-The-Shelf Components,Mechanical Mechanism,,,https://ieeexplore.ieee.org/document/7463168,IEEE HAPTICS
42,gabardi2016new,2016,Texture,Static Contact,Stretch On Skin,Worn/ free gesture,Grounded-On-Same-Body-Part,Off-The-Shelf Components,Mechanical Mechanism,,,https://ieeexplore.ieee.org/document/7463168,IEEE HAPTICS
43,kim2016hapthimble,2016,Texture,Lateral Motion,Vibration,Worn/ free gesture,Grounded-On-Same-Body-Part,Off-The-Shelf Components,Mechanical Mechanism,,,https://ieeexplore.ieee.org/document/7463168,IEEE HAPTICS
43,kim2016hapthimble,2016,Texture,Lateral Motion,Stretch On Skin,Worn/ free gesture,Grounded-On-Same-Body-Part,Off-The-Shelf Components,Mechanical Mechanism,,,https://doi.org/10.1145/2858036.2858196,ACM CHI
43,kim2016hapthimble,2016,Texture,Static Contact,Vibration,Worn/ free gesture,Grounded-On-Same-Body-Part,Off-The-Shelf Components,Mechanical Mechanism,,,https://doi.org/10.1145/2858036.2858196,ACM CHI
43,kim2016hapthimble,2016,Texture,Static Contact,Stretch On Skin,Worn/ free gesture,Grounded-On-Same-Body-Part,Off-The-Shelf Components,Mechanical Mechanism,,,https://doi.org/10.1145/2858036.2858196,ACM CHI
44,chinello2015design,2015,Texture,Lateral Motion,Stretch On Skin,Worn/ free gesture,Grounded-On-Same-Body-Part,Off-The-Shelf Components,Mechanical Mechanism,,,https://doi.org/10.1145/2858036.2858196,ACM CHI
44,chinello2015design,2015,Texture,Static Contact,Stretch On Skin,Worn/ free gesture,Grounded-On-Same-Body-Part,Off-The-Shelf Components,Mechanical Mechanism,,,https://ieeexplore.ieee.org/document/7222547,IEEE AIM
45,kim2021heterogeneous,2021,Shape,Function Test,Vibration,Worn/ free gesture,Grounded-On-Same-Body-Part,Off-The-Shelf Components,Spatial Distribution,,,https://ieeexplore.ieee.org/document/7222547,IEEE AIM
46,yoshida2020pocopo,2020,Curvature,Static Contact,Partial Proximate Object,Grasped/ fixed gesture,Ungrounded,Off-The-Shelf Components,Spatial Distribution,,,https://dl.acm.org/doi/10.1145/3411764.3445448,ACM CHI
46,yoshida2020pocopo,2020,Shape,Static Contact,Partial Proximate Object,Grasped/ fixed gesture,Ungrounded,Off-The-Shelf Components,Spatial Distribution,,,https://doi.org/10.1145/3313831.3376358,ACM CHI
47,bianchi2016wearable,2016,Compliance,Pressure,Partial Proximate Object,Worn/ free gesture,Grounded-On-Same-Body-Part,Off-The-Shelf Components,Elastic Material,,,https://doi.org/10.1145/3313831.3376358,ACM CHI
48,mazursky2021magnetio,2021,Abstracted,Function Test,Vibration,Worn/ free gesture,Grounded-On-Same-Body-Part,Off-The-Shelf Components,None,,,https://ieeexplore.ieee.org/document/7463190,IEEE HAPTICS
49,nakanishi2014remote,2014,Others,Others,Whole Proximate Object,Encountered/free gesture,Grounded-Off-Body,Off-The-Shelf Components,Mechanical Mechanism,,,https://dl.acm.org/doi/10.1145/3411764.3445543,ACM CHI
50,young20215.0 Ungrounded,2021,Shape,Static Contact,Vibration,Grasped/ fixed gesture,Ungrounded,Off-The-Shelf Components,None,,,https://dl.acm.org/doi/abs/10.1145/2556288.2557169,ACM CHI
50,young20215.0 Ungrounded,2021,Shape,Pressure,Vibration,Grasped/ fixed gesture,Ungrounded,Off-The-Shelf Components,None,,,https://ieeexplore.ieee.org/document/8643741,IEEE Transactions on Industrial Electronics
50,young20215.0 Ungrounded,2021,Mass,Static Contact,Vibration,Grasped/ fixed gesture,Ungrounded,Off-The-Shelf Components,None,,,https://doi.org/10.1145/3025453.3025744,ACM CHI
50,young20215.0 Ungrounded,2021,Mass,Pressure,Vibration,Grasped/ fixed gesture,Ungrounded,Off-The-Shelf Components,None,,,https://doi.org/10.1145/3025453.3025744,ACM CHI
51,yun2019soft,2020,Not Specified,Passive,Stretch On Skin,Encountered/free gesture,Grounded-On-Different-Body-Part,Material,Spatial Distribution,,,https://doi.org/10.1145/3025453.3025744,ACM CHI
52,schorr2017fingertip,2017,Texture,Pressure,Stretch On Skin,Worn/ free gesture,Grounded-On-Same-Body-Part,Off-The-Shelf Components,Mechanical Mechanism,,,https://doi.org/10.1145/3025453.3025744,ACM CHI
52,schorr2017fingertip,2017,Texture,Unsupported Holding,Stretch On Skin,Worn/ free gesture,Grounded-On-Same-Body-Part,Off-The-Shelf Components,Mechanical Mechanism,,,https://doi.org/10.1145/3025453.3025744,ACM CHI
52,schorr2017fingertip,2017,Compliance,Pressure,Stretch On Skin,Worn/ free gesture,Grounded-On-Same-Body-Part,Off-The-Shelf Components,Mechanical Mechanism,,,https://doi.org/10.1145/3025453.3025744,ACM CHI
52,schorr2017fingertip,2017,Compliance,Unsupported Holding,Stretch On Skin,Worn/ free gesture,Grounded-On-Same-Body-Part,Off-The-Shelf Components,Mechanical Mechanism,,,https://ieeexplore.ieee.org/document/8048023,IEEE Transactions on Haptics
52,schorr2017fingertip,2017,Mass,Pressure,Stretch On Skin,Worn/ free gesture,Grounded-On-Same-Body-Part,Off-The-Shelf Components,Mechanical Mechanism,,,https://ieeexplore.ieee.org/document/8048023,IEEE Transactions on Haptics
52,schorr2017fingertip,2017,Mass,Unsupported Holding,Stretch On Skin,Worn/ free gesture,Grounded-On-Same-Body-Part,Off-The-Shelf Components,Mechanical Mechanism,,,https://ieeexplore.ieee.org/document/7784835,IEEE Transactions on Haptics
53,chinello2017three,2018,Compliance,Static Contact,Stretch On Skin,Worn/ free gesture,Grounded-On-Same-Body-Part,Off-The-Shelf Components,Mechanical Mechanism,,,https://ieeexplore.ieee.org/document/7784835,IEEE Transactions on Haptics
53,chinello2017three,2018,Compliance,Pressure,Stretch On Skin,Worn/ free gesture,Grounded-On-Same-Body-Part,Off-The-Shelf Components,Mechanical Mechanism,,,https://ieeexplore.ieee.org/abstract/document/8730428,IEEE Transactions on Haptics
54,leonardis20163,2017,Compliance,Static Contact,Stretch On Skin,Worn/ free gesture,Grounded-On-Same-Body-Part,Off-The-Shelf Components,Mechanical Mechanism,,,https://ieeexplore.ieee.org/abstract/document/8730428,IEEE Transactions on Haptics
54,leonardis20163,2017,Compliance,Pressure,Stretch On Skin,Worn/ free gesture,Grounded-On-Same-Body-Part,Off-The-Shelf Components,Mechanical Mechanism,,,https://ieeexplore.ieee.org/abstract/document/8730428,IEEE Transactions on Haptics
55,chen2019fw,2019,Texture,Pressure,Stretch On Skin,Worn/ free gesture,Grounded-On-Same-Body-Part,Off-The-Shelf Components,None,,,https://ieeexplore.ieee.org/abstract/document/8730428,IEEE Transactions on Haptics
55,chen2019fw,2019,Texture,Lateral Motion,Stretch On Skin,Worn/ free gesture,Grounded-On-Same-Body-Part,Off-The-Shelf Components,None,,,https://dl.acm.org/doi/10.1145/3411764.3445463,ACM CHI
55,chen2019fw,2019,Compliance,Pressure,Stretch On Skin,Worn/ free gesture,Grounded-On-Same-Body-Part,Off-The-Shelf Components,None,,,https://dl.acm.org/doi/10.1145/3411764.3445463,ACM CHI
55,chen2019fw,2019,Compliance,Lateral Motion,Stretch On Skin,Worn/ free gesture,Grounded-On-Same-Body-Part,Off-The-Shelf Components,None,,,https://ieeexplore.ieee.org/document/7027232,IEEE Transactions on Haptics
56,singhal2021juicy,2021,Compliance,Passive,Vibration,Encountered/free gesture,Ungrounded,Off-The-Shelf Components,None,,,https://doi.org/10.1145/3126594.3126622,ACM UIST
56,singhal2021juicy,2021,Force/Motion,Passive,Vibration,Encountered/free gesture,Ungrounded,Off-The-Shelf Components,None,,,https://dl.acm.org/doi/10.1145/3025453.3025741,ACM CHI
57,quek2015sensory,2015,Not Specified,Tool-Mediated,Stretch On Skin,Grasped/ fixed gesture,Grounded-Off-Body,Off-The-Shelf Components,Mechanical Mechanism,,,https://ieeexplore.ieee.org/document/8103791,IEEE Transactions on Visualization and Computer Graphics
58,han2017frictio,2017,Abstracted,Others,Forces/Constraint Across Joint,Encountered/free gesture,Grounded-On-Different-Body-Part,Off-The-Shelf Components,Track + Brake,,,https://doi.org/10.1109/HAPTICS45997.2020.ras.HAP20.33.99093c10,IEEE HAPTICS
59,culbertson2017waves,2017,Abstracted,Passive,Vibration,Worn/ free gesture,Grounded-On-Same-Body-Part,Off-The-Shelf Components,Asysmetric Vibration,,,https://doi.org/10.1145/3341163.3346935,ACM ISWC
60,tong2017magnetic,2018,Compliance,Tool-Mediated,Partial Proximate Object,Grasped/ fixed gesture,Grounded-Off-Body,Material,Spatial Distribution,,,https://doi.org/10.1145/3173574.3173894,ACM CHI
61,zarate2020contact,2020,Not Specified,Tool-Mediated,Partial Proximate Object,Grasped/ fixed gesture,Grounded-Off-Body,Material,None,,,https://doi.org/10.1145/3173574.3173894,ACM CHI
62,foo2019iterative,2019,Abstracted,Passive,Stretch On Skin,Worn/ free gesture,Grounded-On-Same-Body-Part,Material,Spatial Distribution,,,https://doi.org/10.1145/3313831.3376333,ACM CHI
63,delazio2018force,2018,Abstracted,Passive,Vibration,Worn/ free gesture,Grounded-On-Same-Body-Part,Off-The-Shelf Components,Spatial Distribution,,,https://doi.org/10.1145/3313831.3376333,ACM CHI
63,delazio2018force,2018,Abstracted,Passive,Stretch On Skin,Worn/ free gesture,Grounded-On-Same-Body-Part,Off-The-Shelf Components,Spatial Distribution,,,https://doi.org/10.1145/3313831.3376491,ACM CHI
64,zhu2020pneusleeve,2020,Abstracted,Passive,Vibration,Worn/ free gesture,Grounded-On-Same-Body-Part,Off-The-Shelf Components,Spatial Distribution,,,https://doi.org/10.1145/3313831.3376491,ACM CHI
64,zhu2020pneusleeve,2020,Abstracted,Passive,Stretch On Skin,Worn/ free gesture,Grounded-On-Same-Body-Part,Off-The-Shelf Components,Spatial Distribution,,,https://doi.org/10.1145/3242587.3242667,ACM UIST
65,muthukumarana2020touch,2020,Abstracted,Passive,Vibration,Worn/ free gesture,Grounded-On-Same-Body-Part,Material,Spatial Distribution,,,https://doi.org/10.1145/3242587.3242667,ACM UIST
65,muthukumarana2020touch,2020,Abstracted,Passive,Stretch On Skin,Worn/ free gesture,Grounded-On-Same-Body-Part,Material,Spatial Distribution,,,https://doi.org/10.1145/3242587.3242667,ACM UIST
66,han2018hydroring,2018,Not Specified,Not Specified,Vibration,Worn/ free gesture,Grounded-On-Same-Body-Part,Material,Others,,,https://doi.org/10.1145/3242587.3242667,ACM UIST
66,han2018hydroring,2018,Not Specified,Not Specified,Vibration,Worn/ free gesture,Grounded-On-Same-Body-Part,Off-The-Shelf Components,Others,,,https://doi.org/10.1145/3313831.3376190,ACM CHI
66,han2018hydroring,2018,Not Specified,Not Specified,Stretch On Skin,Worn/ free gesture,Grounded-On-Same-Body-Part,Material,Others,,,https://doi.org/10.1145/3313831.3376190,ACM CHI
66,han2018hydroring,2018,Not Specified,Not Specified,Stretch On Skin,Worn/ free gesture,Grounded-On-Same-Body-Part,Off-The-Shelf Components,Others,,,https://doi.org/10.1145/3290605.3300718,ACM CHI
